"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.379142800E-2,-7.022708654E-2,-2.115595341E-1,1.133790970E0,1.155496103E0
2.172599800E-2,-5.346769094E-2,-1.852233410E-1,1.076330185E0,1.093459257E0
2.963005100E-2,-4.993867874E-2,-1.831735373E-1,1.049258232E0,1.066296982E0
3.753410400E-2,-3.659147024E-2,-1.647971869E-1,1.017335892E0,1.031246510E0
4.549919200E-2,-4.147398472E-2,-1.625539064E-1,9.855880737E-1,9.997638296E-1
5.340324400E-2,-3.727638721E-2,-1.647015810E-1,9.850082397E-1,9.993784930E-1
6.130729700E-2,-1.626127958E-2,-1.358931065E-1,9.383258820E-1,9.482546211E-1
6.924186800E-2,-2.463138103E-2,-1.280215979E-1,8.607425690E-1,8.705595927E-1
7.711540300E-2,-4.045546055E-3,-1.089164019E-1,8.020505905E-1,8.094222006E-1
8.498893800E-2,-4.229784012E-3,-7.729721069E-2,7.143421173E-1,7.185244675E-1
9.292350800E-2,1.726669073E-2,-6.673002243E-2,6.313886642E-1,6.351398900E-1
1.007970430E-1,1.154303551E-2,-5.574822426E-2,5.438175201E-1,5.467893574E-1
1.087316140E-1,2.587032318E-2,-4.672956467E-2,4.825830460E-1,4.855299394E-1
1.166051490E-1,3.483331203E-2,-2.434468269E-2,4.091749191E-1,4.113759080E-1
1.245702370E-1,2.417695522E-2,-1.798892021E-2,3.360128403E-1,3.373614608E-1
1.325048070E-1,5.108717084E-2,1.652598381E-3,2.601013184E-1,2.650760757E-1
1.404088600E-1,5.422583222E-2,1.887559891E-2,1.818141937E-1,1.906649683E-1
1.483434300E-1,4.226645827E-2,1.933085918E-2,1.778450012E-1,1.838177904E-1
1.562169650E-1,5.706769228E-2,1.568007469E-2,1.762990952E-1,1.859676241E-1
1.641210180E-1,5.529770255E-2,1.459133625E-2,1.460752487E-1,1.568716714E-1
1.720861060E-1,5.395796895E-2,3.125941753E-2,1.395807266E-1,1.528770514E-1
1.799596410E-1,4.626739025E-2,1.560318470E-2,1.525039673E-1,1.601299185E-1
1.878942110E-1,6.892842054E-2,2.095258236E-2,1.675844193E-1,1.824134738E-1
1.957677460E-1,4.659149051E-2,-2.378940582E-3,1.784515381E-1,1.844488487E-1
2.037328340E-1,5.239990354E-2,9.118318558E-3,1.747484207E-1,1.826633630E-1
2.116674050E-1,5.011686683E-2,1.204395294E-2,1.635932922E-1,1.715212010E-1
2.195409400E-1,3.426423669E-2,5.261182785E-3,1.460113525E-1,1.500700937E-1
2.275060280E-1,3.164753318E-2,-1.592326164E-2,1.357574463E-1,1.403039587E-1
2.354100800E-1,3.040900826E-2,-2.755761147E-3,1.683959961E-1,1.711417936E-1
2.432836160E-1,1.479220390E-2,-2.279782295E-2,1.896343231E-1,1.915717269E-1
2.512487030E-1,2.660229802E-2,-1.648271084E-2,1.725139618E-1,1.753294871E-1
2.590917210E-1,2.022850513E-2,-2.452087402E-2,1.745939255E-1,1.774640935E-1
2.670568090E-1,2.303668857E-2,-2.907180786E-2,1.624794006E-1,1.666595772E-1
2.749303440E-1,8.593350649E-3,-3.588342667E-2,2.103233337E-1,2.135354085E-1
2.828954320E-1,4.067361355E-3,-4.744279385E-2,2.438240051E-1,2.484300859E-1
2.908300020E-1,-6.493270397E-3,-7.141613960E-2,3.136186600E-1,3.217127468E-1
2.987035370E-1,-5.861252546E-3,-1.011734009E-1,4.362945557E-1,4.479099805E-1
3.066381080E-1,-2.596846223E-2,-1.745325327E-1,4.993686676E-1,5.296272578E-1
3.145421610E-1,-5.901366472E-2,-2.619855404E-1,5.928840637E-1,6.508690721E-1
3.224156960E-1,-7.811695337E-2,-3.793035746E-1,6.504878998E-1,7.570389474E-1
3.303502660E-1,-1.143467128E-1,-4.525334835E-1,6.961669922E-1,8.381588187E-1
3.382543190E-1,-1.535390019E-1,-5.602877140E-1,7.345304489E-1,9.364996145E-1
