ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
0.59855;0.73023;9.94073;0.57563;0.68869;9.76549;-0.00342;0.02238;0.14172;-0.07758;0.011;0.80573;10.86;11.28;-34.8;316.656;-4.267;-2.919;27;2021-02-11 20:50:36:305
0.61052;0.67277;9.90242;0.61664;0.63692;9.7665;-0.00612;0.03585;0.13592;-0.02871;0.00183;1.07268;11.82;11.04;-33.84;312.925;-3.724;-3.613;58;2021-02-11 20:50:36:336
0.61052;0.67277;9.90242;0.61664;0.63692;9.7665;-0.00612;0.03585;0.13592;-0.02871;0.00183;1.07268;11.82;11.04;-33.84;312.925;-3.724;-3.613;88;2021-02-11 20:50:36:366
0.60094;0.63686;9.79468;0.61664;0.63692;9.7665;-0.00612;0.03585;0.13592;-0.02871;0.00183;1.07268;11.82;11.04;-33.84;312.925;-3.724;-3.613;118;2021-02-11 20:50:36:396
0.60094;0.63686;9.79468;0.67376;0.62926;9.76322;-0.04408;-0.02353;0.14399;-0.02871;0.00183;1.07268;12.66;8.52;-35.1;312.925;-3.724;-3.613;148;2021-02-11 20:50:36:426
0.60094;0.63686;9.79468;0.67376;0.62926;9.76322;-0.04408;-0.02353;0.14399;0.08552;-0.0171;1.4563;12.66;8.52;-35.1;312.925;-3.724;-3.613;178;2021-02-11 20:50:36:456
0.60094;0.63686;9.79468;0.67376;0.62926;9.76322;-0.04408;-0.02353;0.14399;0.08552;-0.0171;1.4563;12.66;8.52;-35.1;312.925;-3.724;-3.613;208;2021-02-11 20:50:36:486
0.64643;0.58419;10.00297;0.73104;0.61947;9.75973;-0.087;-0.04246;0.23367;0.08552;-0.0171;1.4563;12.66;8.52;-35.1;312.925;-3.724;-3.613;238;2021-02-11 20:50:36:516
0.64643;0.58419;10.00297;0.73104;0.61947;9.75973;-0.087;-0.04246;0.23367;0.08552;-0.0171;1.4563;13.08;6.54;-35.7;300.425;-3.622;-4.284;268;2021-02-11 20:50:36:546
0.64404;0.52912;9.8689;0.73104;0.61947;9.75973;-0.087;-0.04246;0.23367;0.17471;0.02993;1.70676;13.08;6.54;-35.7;300.425;-3.622;-4.284;298;2021-02-11 20:50:36:576
0.64404;0.52912;9.8689;0.73104;0.61947;9.75973;-0.087;-0.04246;0.23367;0.17471;0.02993;1.70676;13.08;6.54;-35.7;300.425;-3.622;-4.284;328;2021-02-11 20:50:36:606
0.64404;0.52912;9.8689;0.68152;0.58103;9.76567;-0.03748;-0.08064;0.199;0.17471;0.02993;1.70676;13.08;6.54;-35.7;300.425;-3.622;-4.284;359;2021-02-11 20:50:36:637
0.64404;0.52912;9.8689;0.68152;0.58103;9.76567;-0.03748;-0.08064;0.199;0.17471;0.02993;1.70676;13.92;3.3;-36.24;287.091;-3.397;-3.992;388;2021-02-11 20:50:36:666
0.67038;0.46926;9.90481;0.68152;0.58103;9.76567;-0.03748;-0.08064;0.199;0.24679;0.08613;1.96515;13.92;3.3;-36.24;287.091;-3.397;-3.992;418;2021-02-11 20:50:36:696
0.67038;0.46926;9.90481;0.67722;0.58338;9.76583;-0.01488;-0.16332;0.0996;0.24679;0.08613;1.96515;13.92;3.3;-36.24;287.091;-3.397;-3.992;448;2021-02-11 20:50:36:726
0.67038;0.46926;9.90481;0.67722;0.58338;9.76583;-0.01488;-0.16332;0.0996;0.24679;0.08613;1.96515;13.92;3.3;-36.24;287.091;-3.397;-3.992;477;2021-02-11 20:50:36:755
0.69192;0.40941;9.93354;0.67722;0.58338;9.76583;-0.01488;-0.16332;0.0996;0.24679;0.08613;1.96515;14.04;-0.84;-37.14;273.946;-3.41;-3.967;507;2021-02-11 20:50:36:785
0.69192;0.40941;9.93354;0.68565;0.63723;9.76188;-0.01488;-0.16332;0.0996;0.32132;0.14539;2.2095;14.04;-0.84;-37.14;273.946;-3.41;-3.967;538;2021-02-11 20:50:36:816
0.69192;0.40941;9.93354;0.68565;0.63723;9.76188;-0.01395;-0.23236;0.11317;0.32132;0.14539;2.2095;14.04;-0.84;-37.14;273.946;-3.41;-3.967;568;2021-02-11 20:50:36:846
0.70629;0.34237;9.89284;0.68565;0.63723;9.76188;-0.01395;-0.23236;0.11317;0.32132;0.14539;2.2095;14.04;-0.84;-37.14;273.946;-3.41;-3.967;599;2021-02-11 20:50:36:877
0.70629;0.34237;9.89284;0.67451;0.65778;9.76129;-0.01395;-0.23236;0.11317;0.32132;0.14539;2.2095;13.26;-5.4;-36.6;260.587;-3.846;-3.953;628;2021-02-11 20:50:36:906
0.70629;0.34237;9.89284;0.67451;0.65778;9.76129;0.02326;-0.33777;0.10571;0.36591;0.19731;2.42575;13.26;-5.4;-36.6;260.587;-3.846;-3.953;658;2021-02-11 20:50:36:936
0.70629;0.34237;9.89284;0.67451;0.65778;9.76129;0.02326;-0.33777;0.10571;0.36591;0.19731;2.42575;13.26;-5.4;-36.6;260.587;-3.846;-3.953;689;2021-02-11 20:50:36:967
