ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
9.5385;0.74939;-0.51236;9.74573;0.77385;-0.76965;0.0901;0.01949;0.00943;0.33598;-0.1405;0.0055;-35.7;-11.94;-9.48;231.656;-4.683;-93.981;26;2021-02-12 15:47:55:694
9.5385;0.74939;-0.51236;9.74573;0.77385;-0.76965;-0.06596;0.07421;0.17716;0.48014;-0.09102;-0.00977;-35.82;-13.14;-8.04;226.725;-4.526;-94.515;76;2021-02-12 15:47:55:744
9.67018;0.80924;-0.56743;9.74401;0.75989;-0.80457;-0.06596;0.07421;0.17716;0.48014;-0.09102;-0.00977;-35.82;-13.14;-8.04;226.725;-4.526;-94.515;126;2021-02-12 15:47:55:794
9.67018;0.80924;-0.56743;9.74401;0.75989;-0.80457;0.0034;0.03096;0.21625;0.48014;-0.09102;-0.00977;-34.92;-13.2;-5.58;220.711;-4.444;-94.72;176;2021-02-12 15:47:55:844
9.56723;0.73981;-0.54348;9.7453;0.75406;-0.7943;0.0034;0.03096;0.21625;0.61148;0.0562;-0.03543;-34.92;-13.2;-5.58;220.711;-4.444;-94.72;226;2021-02-12 15:47:55:894
9.56723;0.73981;-0.54348;9.7453;0.75406;-0.7943;-0.02408;0.01213;0.20667;0.61148;0.0562;-0.03543;-34.92;-13.2;-5.58;220.711;-4.444;-94.72;277;2021-02-12 15:47:55:945
9.64384;0.73502;-0.54588;9.74918;0.75783;-0.74129;-0.02408;0.01213;0.20667;0.72082;0.10018;-0.06964;-35.7;-14.64;-4.98;212.892;-4.41;-94.66;327;2021-02-12 15:47:55:995
9.64384;0.73502;-0.54588;9.74918;0.75783;-0.74129;-0.04312;-0.02963;0.10944;0.72082;0.10018;-0.06964;-35.7;-14.64;-4.98;212.892;-4.41;-94.66;377;2021-02-12 15:47:56:045
9.63427;0.71826;-0.56743;9.75341;0.7821;-0.6555;-0.04312;-0.02963;0.10944;0.83261;0.17654;-0.1069;-35.34;-14.52;-4.2;207.474;-4.574;-93.845;426;2021-02-12 15:47:56:094
9.63427;0.71826;-0.56743;9.75341;0.7821;-0.6555;-0.05869;-0.11785;0.0104;0.83261;0.17654;-0.1069;-35.34;-14.52;-4.2;207.474;-4.574;-93.845;477;2021-02-12 15:47:56:145
9.77553;0.68953;-0.57221;9.7562;0.83013;-0.54565;-0.05869;-0.11785;0.0104;0.83261;0.17654;-0.1069;-35.04;-15.78;-2.1;196.914;-4.856;-93.201;530;2021-02-12 15:47:56:198
9.77553;0.68953;-0.57221;9.7562;0.83013;-0.54565;-0.01494;-0.18192;-0.09843;0.94195;0.20525;-0.13928;-35.04;-15.78;-2.1;196.914;-4.856;-93.201;577;2021-02-12 15:47:56:245
9.77313;0.68474;-0.55545;9.75729;0.87528;-0.44675;-0.01494;-0.18192;-0.09843;0.94195;0.20525;-0.13928;-35.04;-15.78;-2.1;196.914;-4.856;-93.201;626;2021-02-12 15:47:56:294
