ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-1.02711;9.61033;-0.67995;-0.86543;9.74696;-0.64668;-0.18588;-0.09949;0.06408;-0.02138;0.31582;-0.08125;-8.4;-32.28;15.96;268.777;-83.675;126.769;26;2021-02-12 15:49:32:059
-1.05105;9.65582;-0.65601;-0.93754;9.74028;-0.64684;-0.10669;-0.13907;0.0184;-0.02138;0.31582;-0.08125;-8.4;-32.28;15.96;268.777;-83.675;126.769;76;2021-02-12 15:49:32:109
-1.05105;9.65582;-0.65601;-0.93754;9.74028;-0.64684;-0.10669;-0.13907;0.0184;-0.02138;0.31582;-0.08125;-8.4;-32.28;15.96;268.777;-83.675;126.769;126;2021-02-12 15:49:32:159
-1.04148;9.63427;-0.61531;-0.98766;9.73506;-0.65082;-0.07524;-0.12362;0.04132;-0.03238;0.46243;-0.07514;-7.74;-31.68;16.26;266.02;-83.33;124.603;176;2021-02-12 15:49:32:209
-1.04148;9.63427;-0.61531;-0.98766;9.73506;-0.65082;-0.07524;-0.12362;0.04132;-0.03238;0.46243;-0.07514;-7.74;-31.68;16.26;266.02;-83.33;124.603;226;2021-02-12 15:49:32:259
-1.06303;9.65342;-0.63207;-1.00632;9.73238;-0.66216;-0.04903;-0.13261;0.05573;-0.03787;0.61392;-0.03971;-7.92;-31.74;15.0;262.27;-83.073;123.383;276;2021-02-12 15:49:32:309
-1.06303;9.65342;-0.63207;-1.00632;9.73238;-0.66216;-0.04903;-0.13261;0.05573;-0.03787;0.61392;-0.03971;-7.92;-31.74;15.0;262.27;-83.073;123.383;326;2021-02-12 15:49:32:359
-1.08218;9.58399;-0.65841;-0.98687;9.73347;-0.67537;-0.07084;-0.08872;0.04503;-0.06048;0.75808;0.01344;-8.64;-32.16;14.1;258.363;-82.996;124.386;375;2021-02-12 15:49:32:408
-1.08218;9.58399;-0.65841;-0.98687;9.73347;-0.67537;-0.07084;-0.08872;0.04503;-0.06048;0.75808;0.01344;-8.64;-32.16;14.1;258.363;-82.996;124.386;426;2021-02-12 15:49:32:459
-1.03908;9.6223;-0.57221;-0.92969;9.73905;-0.676;-0.09512;-0.17158;0.0453;-0.06048;0.75808;0.01344;-8.64;-32.16;14.1;258.363;-82.996;124.386;476;2021-02-12 15:49:32:509
-1.03908;9.6223;-0.57221;-0.92969;9.73905;-0.676;-0.09512;-0.17158;0.0453;-0.07575;0.88392;0.05864;-9.84;-32.46;14.04;258.161;-83.269;126.022;526;2021-02-12 15:49:32:559
-1.01514;9.59835;-0.55067;-0.85516;9.74716;-0.65721;-0.13355;-0.13814;0.08318;-0.07575;0.88392;0.05864;-9.84;-32.46;14.04;258.161;-83.269;126.022;575;2021-02-12 15:49:32:608
-1.01514;9.59835;-0.55067;-0.85516;9.74716;-0.65721;-0.13355;-0.13814;0.08318;-0.09835;1.01098;0.08674;-11.4;-32.64;12.6;255.42;-83.686;127.543;626;2021-02-12 15:49:32:659
-1.01754;9.59835;-0.57461;-0.7879;9.75524;-0.62034;-0.20531;-0.15383;0.06229;-0.09835;1.01098;0.08674;-11.4;-32.64;12.6;255.42;-83.686;127.543;675;2021-02-12 15:49:32:708
-1.01754;9.59835;-0.57461;-0.7879;9.75524;-0.62034;-0.20531;-0.15383;0.06229;-0.09835;1.01098;0.08674;-11.4;-32.64;12.6;255.42;-83.686;127.543;725;2021-02-12 15:49:32:758
-0.95768;9.61751;-0.54588;-0.73815;9.76195;-0.5744;-0.20174;-0.14194;0.04755;-0.12034;1.13499;0.08002;-12.42;-33.0;10.38;246.64;-84.131;128.215;776;2021-02-12 15:49:32:809
-0.95768;9.61751;-0.54588;-0.73815;9.76195;-0.5744;-0.20174;-0.14194;0.04755;-0.12034;1.13499;0.08002;-12.42;-33.0;10.38;246.64;-84.131;128.215;825;2021-02-12 15:49:32:858
-0.94571;9.67018;-0.52194;-0.71527;9.76635;-0.52651;-0.22465;-0.0947;0.02349;-0.12828;1.24372;0.04704;-13.26;-32.82;8.04;239.358;-84.527;127.888;875;2021-02-12 15:49:32:908
-0.92177;9.65582;-0.49799;-0.71527;9.76635;-0.52651;-0.20626;-0.11167;0.00666;-0.12828;1.24372;0.04704;-13.26;-32.82;8.04;239.358;-84.527;127.888;926;2021-02-12 15:49:32:959
-0.92177;9.65582;-0.49799;-0.72984;9.76686;-0.49606;-0.20626;-0.11167;0.00666;-0.11179;1.35612;-0.00428;-14.58;-33.3;5.34;225.095;-84.837;124.203;975;2021-02-12 15:49:33:008
-0.91937;9.67018;-0.42138;-0.72984;9.76686;-0.49606;-0.18486;-0.09678;0.06585;-0.11179;1.35612;-0.00428;-14.58;-33.3;5.34;225.095;-84.837;124.203;1025;2021-02-12 15:49:33:058
-0.91937;9.67018;-0.42138;-0.74826;9.76615;-0.48261;-0.18486;-0.09678;0.06585;-0.11179;1.35612;-0.00428;-14.58;-33.3;5.34;225.095;-84.837;124.203;1076;2021-02-12 15:49:33:109
-0.91459;9.69412;-0.39265;-0.74826;9.76615;-0.48261;-0.14849;-0.05128;0.10512;-0.08125;1.4673;-0.05131;-15.3;-33.54;2.52;217.223;-84.791;122.821;1126;2021-02-12 15:49:33:159
