,ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS,orientation_z_shift,sf_unc,time_in_rad,computed_angle_on_plane,angle_plane_shift
0,-0.27773,-0.07901,9.91678,-0.30342,-0.20425,9.79983,0.03048,0.09651,-0.63961,0.10263,0.06597,-0.80817,-18.12,-4.38,-33.42,103.813,1.193,1.773,26,2021-02-11 21:49:46:533,3.8130000000000024,0.7704649146768334,0.004084070449666731,-0.2371724204458138,69.52929766091565
1,-0.27773,-0.07901,9.91678,-0.32377,-0.15703,9.80005,0.02929,0.03732,0.2556,0.10263,0.06597,-0.80817,-17.52,-5.22,-33.84,106.148,0.917,1.892,74,2021-02-11 21:49:46:581,6.147999999999996,0.7872256765925628,0.011623892818282236,-0.28957059740634256,66.52710326689771
2,-0.26815,-0.39983,9.90242,-0.32377,-0.15703,9.80005,0.02929,0.03732,0.2556,0.10263,0.06597,-0.80817,-17.52,-5.22,-33.84,106.148,0.917,1.892,123,2021-02-11 21:49:46:630,6.147999999999996,0.8137689962389176,0.019320794819577228,-0.28957059740634256,66.52710326689771
3,-0.26815,-0.39983,9.90242,-0.35759,-0.11454,9.79946,0.06071,-0.03629,0.11972,0.0733,0.04704,-1.0006,-17.52,-5.22,-33.84,106.148,0.917,1.892,174,2021-02-11 21:49:46:681,6.147999999999996,0.8137689962389176,0.027331856086231197,-0.28957059740634256,66.52710326689771
4,-0.27294,-0.41659,10.01016,-0.35759,-0.11454,9.79946,0.06071,-0.03629,0.11972,0.0733,0.04704,-1.0006,-16.02,-7.98,-33.66,115.963,0.669,2.09,224,2021-02-11 21:49:46:731,15.962999999999994,0.8745132655207126,0.035185837720205684,-0.46214835974930624,56.63912584683415
5,-0.27294,-0.41659,10.01016,-0.34912,-0.13479,9.79951,0.07378,-0.09506,0.08376,0.04459,0.00611,-1.19852,-16.02,-7.98,-33.66,115.963,0.669,2.09,274,2021-02-11 21:49:46:781,15.962999999999994,0.8745132655207126,0.043039819354180164,-0.46214835974930624,56.63912584683415
6,-0.25379,-0.34955,9.86172,-0.34912,-0.13479,9.79951,0.07378,-0.09506,0.08376,0.04459,0.00611,-1.19852,-14.34,-10.14,-33.66,124.529,0.788,2.04,323,2021-02-11 21:49:46:830,24.528999999999996,1.0061464540294514,0.050736721355475155,-0.6154838350081807,47.85365026486799
7,-0.25379,-0.34955,9.86172,-0.32377,-0.16804,9.79986,0.03408,-0.18391,0.06664,0.01955,-0.05131,-1.38789,-14.34,-10.14,-33.66,124.529,0.788,2.04,373,2021-02-11 21:49:46:880,24.528999999999996,1.0061464540294514,0.05859070298944964,-0.6154838350081807,47.85365026486799
8,-0.25857,-0.29688,9.9096,-0.32377,-0.16804,9.79986,0.03408,-0.18391,0.06664,0.01955,-0.05131,-1.38789,-14.34,-10.14,-33.66,124.529,0.788,2.04,424,2021-02-11 21:49:46:931,24.528999999999996,0.9884599657223954,0.06660176425610362,-0.6154838350081807,47.85365026486799
9,-0.25857,-0.29688,9.9096,-0.26186,-0.20763,9.80096,0.00329,-0.20656,0.12062,0.01955,-0.05131,-1.38789,-12.42,-13.08,-33.18,136.75,1.213,1.53,473,2021-02-11 21:49:46:980,36.75,1.0862625845335627,0.07429866625739862,-0.8112747391639377,36.6356577896927
10,-0.26336,-0.30646,9.89284,-0.26186,-0.20763,9.80096,0.00329,-0.20656,0.12062,0.01649,-0.10018,-1.55465,-12.42,-13.08,-33.18,136.75,1.213,1.53,524,2021-02-11 21:49:47:031,36.75,1.067538484659511,0.08230972752405258,-0.8112747391639377,36.6356577896927
11,-0.26336,-0.30646,9.89284,-0.16887,-0.24387,9.80216,-0.08971,-0.223,0.16729,0.01649,-0.10018,-1.55465,-10.14,-14.94,-32.88,146.245,1.425,0.987,574,2021-02-11 21:49:47:081,46.245000000000005,1.1422225254256968,0.09016370915802706,-0.9744989826105672,27.283597525984938
12,-0.26336,-0.34237,9.94791,-0.09574,-0.26791,9.80252,-0.17002,-0.08643,0.11905,0.04032,-0.12645,-1.72142,-10.14,-14.94,-32.88,146.245,1.425,0.987,624,2021-02-11 21:49:47:131,46.245000000000005,1.1422225254256968,0.09801769079200154,-0.9744989826105672,27.283597525984938
13,-0.26336,-0.34237,9.94791,-0.09574,-0.26791,9.80252,-0.17002,-0.08643,0.11905,0.04032,-0.12645,-1.72142,-6.42,-16.62,-32.46,160.541,1.565,0.56,673,2021-02-11 21:49:47:180,60.541,1.254770133118296,0.10571459279329654,-1.2021718170117164,14.238905005018196
14,-0.25618,-0.37589,9.94791,-0.05807,-0.28721,9.80227,-0.17002,-0.08643,0.11905,0.04032,-0.12645,-1.72142,-6.42,-16.62,-32.46,160.541,1.565,0.56,724,2021-02-11 21:49:47:231,60.541,1.287996192147753,0.11372565405995051,-1.2021718170117164,14.238905005018196
15,-0.25618,-0.37589,9.94791,-0.05807,-0.28721,9.80227,-0.20996,-0.15487,0.12156,0.0788,-0.10324,-1.89368,-6.42,-16.62,-32.46,160.541,1.565,0.56,773,2021-02-11 21:49:47:280,60.541,1.287996192147753,0.1214225560612455,-1.2021718170117164,14.238905005018196
16,-0.26815,-0.43335,9.91918,-0.02111,-0.29133,9.8023,-0.20996,-0.15487,0.12156,0.0788,-0.10324,-1.89368,-2.7,-17.16,-32.22,169.913,1.678,0.339,823,2021-02-11 21:49:47:330,69.91300000000001,1.3062009330046387,0.12927653769522,-1.4147331461155934,2.0600379596747302
17,-0.26815,-0.43335,9.91918,-0.02111,-0.29133,9.8023,-0.20627,-0.1367,0.09569,0.08796,-0.05315,-2.01097,-2.7,-17.16,-32.22,169.913,1.678,0.339,873,2021-02-11 21:49:47:380,69.91300000000001,1.3062009330046387,0.13713051932919448,-1.4147331461155934,2.0600379596747302
18,-0.24421,-0.50039,9.90002,-0.05631,-0.32036,9.80125,-0.20627,-0.1367,0.09569,0.08796,-0.05315,-2.01097,2.1,-17.4,-32.4,185.75,1.872,0.329,924,2021-02-11 21:49:47:431,85.75,1.5596375303904206,0.14514158059584845,-1.4506875912279835,0.0
19,-0.24421,-0.50039,9.90002,-0.05631,-0.32036,9.80125,-0.19194,-0.13077,0.07477,0.08796,-0.05315,-2.01097,2.1,-17.4,-32.4,185.75,1.872,0.329,973,2021-02-11 21:49:47:480,85.75,1.5596375303904206,0.15283848259714344,-1.4506875912279835,0.0
20,-0.24181,-0.54109,9.85214,-0.06775,-0.33659,9.80064,-0.19194,-0.13077,0.07477,0.0617,0.0055,-2.11359,2.1,-17.4,-32.4,185.75,1.872,0.329,1024,2021-02-11 21:49:47:531,85.75,1.5743677051717155,0.1608495438637974,-1.4506875912279835,0.0
21,-0.24181,-0.54109,9.85214,-0.06775,-0.33659,9.80064,-0.1857,-0.11553,0.09743,0.0617,0.0055,-2.11359,6.3,-16.02,-32.58,198.626,1.967,0.396,1073,2021-02-11 21:49:47:580,98.626,1.683058422508576,0.1685464458650924,-1.1961151265121204,14.585927808462031
22,-0.25618,-0.5363,9.85453,-0.10975,-0.37713,9.79878,-0.1857,-0.11553,0.09743,0.00916,0.04276,-2.18995,6.3,-16.02,-32.58,198.626,1.967,0.396,1124,2021-02-11 21:49:47:631,98.626,1.5932353765452203,0.17655750713174637,-1.1961151265121204,14.585927808462031
23,-0.25618,-0.5363,9.85453,-0.10975,-0.37713,9.79878,-0.17652,-0.12487,0.06575,0.00916,0.04276,-2.18995,9.9,-14.1,-32.52,212.249,2.204,0.642,1173,2021-02-11 21:49:47:680,112.249,1.7026750389532657,0.18425440913304136,-0.9586438298498131,28.19203086271135
24,-0.27294,-0.54109,9.83538,-0.1164,-0.42892,9.79657,-0.17652,-0.12487,0.06575,0.00916,0.04276,-2.18995,9.9,-14.1,-32.52,212.249,2.204,0.642,1223,2021-02-11 21:49:47:730,112.249,1.603822819202908,0.19210839076701583,-0.9586438298498131,28.19203086271135
25,-0.27294,-0.54109,9.83538,-0.1164,-0.42892,9.79657,-0.14828,-0.07245,0.07321,-0.04032,0.04093,-2.2376,14.52,-11.16,-32.88,229.579,2.507,0.681,1273,2021-02-11 21:49:47:780,129.579,1.733647413511085,0.19996237240099032,-0.6552961056874833,45.57257518211151
26,-0.26576,-0.53391,9.87369,-0.13203,-0.50526,9.79274,-0.14828,-0.07245,0.07321,-0.04032,0.04093,-2.2376,14.52,-11.16,-32.88,229.579,2.507,0.681,1323,2021-02-11 21:49:47:830,129.579,1.7777839191268412,0.2078163540349648,-0.6552961056874833,45.57257518211151
27,-0.26576,-0.53391,9.87369,-0.13203,-0.50526,9.79274,-0.1606,-0.02686,0.1081,-0.05559,0.01344,-2.25043,14.52,-11.16,-32.88,229.579,2.507,0.681,1373,2021-02-11 21:49:47:880,129.579,1.7777839191268412,0.21567033566893928,-0.6552961056874833,45.57257518211151
28,-0.27773,-0.52433,9.88326,-0.12253,-0.56488,9.7896,-0.1606,-0.02686,0.1081,-0.05559,0.01344,-2.25043,17.94,-7.44,-33.12,243.627,2.953,0.772,1423,2021-02-11 21:49:47:930,143.627,1.8090795344245363,0.22352431730291378,-0.3931276231353247,60.59372275369936
29,-0.32322,-0.5363,9.912,-0.12253,-0.56488,9.7896,-0.17023,0.00258,0.09615,-0.02993,-0.01527,-2.22233,17.94,-7.44,-33.12,243.627,2.953,0.772,1473,2021-02-11 21:49:47:980,143.627,1.5707792816556474,0.23137829893688827,-0.3931276231353247,60.59372275369936
30,-0.32322,-0.5363,9.912,-0.15717,-0.57194,9.7887,-0.17023,0.00258,0.09615,-0.02993,-0.01527,-2.22233,19.5,-1.56,-33.36,258.56,3.343,0.92,1524,2021-02-11 21:49:48:031,158.56,1.6661157379529867,0.2393893602035422,-0.0798299857122373,78.54435510946219
31,-0.33998,-0.55785,9.92876,-0.15717,-0.57194,9.7887,-0.14762,0.00888,0.14252,-0.02993,-0.01527,-2.22233,19.5,-1.56,-33.36,258.56,3.343,0.92,1573,2021-02-11 21:49:48:080,158.56,1.5905322031659643,0.24708626220483726,-0.0798299857122373,78.54435510946219
